Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  13:30:00,-1.6500000000000002,1383.289626194205,1.0,189.38488290342594,1.0,189.38488290342594,1383.289626194205,8.445540533323483,7.044833819531267,8.431488278981817,0.20951868867086888,8.476682328771139 
 01/01  13:45:00,-1.375,1319.2668280210158,1.0,179.3940297802914,1.0,179.3940297802914,1319.2668280210158,8.438044797244327,7.1684557589551078,8.37695270245581,0.44523681152872998,8.44898591954869 
 01/01  14:00:00,-1.1,1254.5126044863396,1.0,169.43349014176136,1.0,169.43349014176136,1254.5126044863396,8.425565858194878,7.267842340780605,8.315319522356845,0.678974426754337,8.426419308389424 
 01/01  14:15:00,-1.1,1320.4532200562244,1.0,178.15692317953907,1.0,178.15692317953907,1320.4532200562244,8.491754532706365,8.090177456930333,8.461527295592873,0.8161202247850383,8.411732464246658 
 01/01  14:30:00,-1.1,1240.5295356630666,1.0,166.40516310952945,1.0,166.40516310952945,1240.5295356630666,8.437263762561296,7.723187387925408,8.309020023680944,0.7603787862597642,8.400426464586325 
 01/01  14:45:00,-1.1,1045.9922150259893,1.0,140.8967369711617,1.0,140.8967369711617,1045.9922150259893,8.316758821088352,6.516450507723053,7.912319444981904,0.5361932124034183,8.382331449259585 
 01/01  15:00:00,-1.1,860.7663464429996,1.0,116.57355796743004,1.0,116.57355796743004,860.7663464429996,8.204448127760623,5.310356716052164,7.52368039334317,0.31399148869206786,8.345703302290849 
 01/01  15:15:00,-1.1,683.153283387036,1.0,93.14939272689483,1.0,93.14939272689483,683.153283387036,8.100479214939805,4.2603796999401999,7.179362186684898,0.16805203588359064,8.288957185138872 
 01/01  15:30:00,-1.1,424.1027961881881,1.0,57.94047897402063,1.0,57.94047897402063,424.1027961881881,7.905527777493178,2.137288703396149,6.655006914670707,-0.12634040446812379,8.204835282801204 
 01/01  15:45:00,-1.1,328.818202681909,1.0,45.38251793443488,1.0,45.38251793443488,328.818202681909,7.8275014509717659,1.527934982475584,6.426869676374565,-0.17884665771475739,8.10787023284617 
 01/01  16:00:00,-1.1,229.5368897813599,1.0,32.02625108222755,1.0,32.02625108222755,229.5368897813599,7.710654181307295,0.6661433250955371,6.2114578477962258,-0.23538016323863077,8.01201537708882 
